語句,検出された行数,前の語句と出現頻度,後の語句と出現頻度
AttentionRanking,test.txt:127,"('', 0)","('BeautifulSoup', 2)"
BeautifulSoup4,test.txt:36,"('BeautifulSoup', 2)","('C', 1)"
C,test.txt:48,"('BeautifulSoup4', 1)","('Desktop', 1)"
Desktop,test.txt:49,"('C', 1)","('H', 1)"
H,test.txt:53,"('Desktop', 1)","('HTML', 1)"
HTML,test.txt:25,"('H', 1)","('ImportKakakuCOM', 1)"
ImportKakakuCOM,test.txt:42,"('HTML', 1)","('Linux', 2)"
M,test.txt:53,"('Linux', 2)","('MacOSX', 2)"
OS,test.txt:37,"('MacOSX', 2)","('Python', 1)"
Python,test.txt:11,"('OS', 1)","('Python3', 1)"
Python3,test.txt:36,"('Python', 1)","('RF', 1)"
RF,test.txt:124,"('Python3', 1)","('RF_AttentionRanking', 1)"
RF_AttentionRanking,test.txt:103,"('RF', 1)","('RF_SalesRanking', 1)"
RF_SalesRanking,test.txt:102,"('RF_AttentionRanking', 1)","('RF_SatisfactionRanking', 1)"
RF_SatisfactionRanking,test.txt:104,"('RF_SalesRanking', 1)","('RF_outputfile1', 3)"
RaspberryPi3,test.txt:10,"('RF_url3', 3)","('Requests', 1)"
Requests,test.txt:36,"('RaspberryPi3', 1)","('S', 1)"
S,test.txt:53,"('Requests', 1)","('SalesRanking', 1)"
SalesRanking,test.txt:126,"('S', 1)","('Samba', 1)"
Samba,test.txt:10,"('SalesRanking', 1)","('SatisfactionRanking', 1)"
SatisfactionRanking,test.txt:128,"('Samba', 1)","('TV', 4)"
TV_AttentionRanking,test.txt:71,"('TV', 4)","('TV_SalesRanking', 1)"
TV_SalesRanking,test.txt:70,"('TV_AttentionRanking', 1)","('TV_SatisfactionRanking', 1)"
TV_SatisfactionRanking,test.txt:72,"('TV_SalesRanking', 1)","('TV_outputfile1', 3)"
WM,test.txt:123,"('Users', 2)","('WM_AttentionRanking', 1)"
WM_AttentionRanking,test.txt:87,"('WM', 1)","('WM_SalesRanking', 1)"
WM_SalesRanking,test.txt:86,"('WM_AttentionRanking', 1)","('WM_SatisfactionRanking', 1)"
WM_SatisfactionRanking,test.txt:88,"('WM_SalesRanking', 1)","('WM_outputfile1', 3)"
Windows,test.txt:48,"('Web', 2)","('Y', 1)"
Y,test.txt:53,"('Windows', 1)","('YYYYMMDDhhmmss_', 1)"
YYYYMMDDhhmmss_,test.txt:120,"('Y', 1)","('YYYYMMDDhhmmss_TV_SalesRanking', 1)"
YYYYMMDDhhmmss_TV_SalesRanking,test.txt:131,"('YYYYMMDDhhmmss_', 1)","('a', 3)"
as,test.txt:58,"('a', 3)","('bs4', 1)"
bs4,test.txt:44,"('as', 1)","('com', 11)"
crontab,test.txt:112,"('com', 11)","('d', 1)"
d,test.txt:53,"('crontab', 1)","('date', 3)"
def,test.txt:55,"('datetime', 3)","('desktop', 1)"
desktop,test.txt:48,"('def', 1)","('e', 1)"
e,test.txt:112,"('desktop', 1)","('ex1', 1)"
ex1,test.txt:48,"('e', 1)","('ex2', 1)"
ex2,test.txt:49,"('ex1', 1)","('f', 2)"
find_all,test.txt:59,"('f', 2)","('for', 1)"
for,test.txt:59,"('find_all', 1)","('freezer', 3)"
from,test.txt:44,"('freezer', 3)","('get', 1)"
get,test.txt:56,"('from', 1)","('hot', 3)"
href,test.txt:28,"('hot', 3)","('html', 1)"
html,test.txt:57,"('href', 1)","('http', 9)"
in,test.txt:59,"('import', 3)","('kaden', 9)"
m,test.txt:53,"('lcd', 3)","('mode', 1)"
mode,test.txt:58,"('m', 1)","('now', 1)"
now,test.txt:53,"('mode', 1)","('open', 1)"
open,test.txt:58,"('now', 1)","('outputfile', 2)"
parser,test.txt:57,"('outputfile', 2)","('path', 4)"
py,test.txt:42,"('png', 5)","('python', 2)"
python3,test.txt:116,"('python', 2)","('r', 2)"
result,test.txt:133,"('requests', 2)","('scraping', 10)"
strftime,test.txt:53,"('soup', 2)","('text', 2)"
w,test.txt:58,"('vertical', 3)","('washing', 3)"
with,test.txt:58,"('washing', 3)","('write', 1)"
write,test.txt:60,"('with', 1)","('ウチ', 1)"
ウチ,test.txt:10,"('write', 1)","('カテゴリ', 4)"
コマンド,test.txt:115,"('カテゴリ', 4)","('コミ', 1)"
コミ,test.txt:4,"('コマンド', 1)","('サイト', 1)"
サイト,test.txt:8,"('コミ', 1)","('サーバ', 2)"
シンプル,test.txt:39,"('サーバ', 2)","('スクリプト', 1)"
スクリプト,test.txt:113,"('シンプル', 1)","('スクリーンショット', 3)"
スクレイピング,test.txt:11,"('スクリーンショット', 3)","('スペース', 2)"
ソース,test.txt:25,"('スペース', 2)","('タイムスタンプ', 2)"
ターミナル,test.txt:112,"('タグ', 2)","('テレビ', 5)"
ファイルサーバ,test.txt:10,"('ファイル', 12)","('ベース', 1)"
ベース,test.txt:5,"('ファイルサーバ', 1)","('ページ', 2)"
ライブラリ,test.txt:141,"('ページ', 2)","('ランキンク', 1)"
ランキンク,test.txt:14,"('ライブラリ', 1)","('ランキング', 20)"
ロジック,test.txt:39,"('ランキングカテゴリ', 2)","('・', 14)"
・メーカー,test.txt:30,"('・', 14)","('・・', 1)"
・・,test.txt:141,"('・メーカー', 1)","('・・・', 6)"
一口,test.txt:8,"('・・・', 6)","('一部', 1)"
一部,test.txt:25,"('一口', 1)","('上図', 2)"
下記情報,test.txt:28,"('下記', 2)","('中身', 1)"
中身,test.txt:131,"('下記情報', 1)","('交渉', 1)"
交渉,test.txt:5,"('中身', 1)","('人', 1)"
人,test.txt:6,"('交渉', 1)","('今回', 1)"
今回,test.txt:140,"('人', 1)","('今回抽出', 1)"
今回抽出,test.txt:16,"('今回', 1)","('今年', 1)"
今年,test.txt:1,"('今回抽出', 1)","('仕組', 2)"
付与,test.txt:52,"('仕組', 2)","('作成', 1)"
作成,test.txt:11,"('付与', 1)","('作業', 1)"
作業,test.txt:8,"('作成', 1)","('使用者', 1)"
使用者,test.txt:47,"('作業', 1)","('価格', 2)"
便利,test.txt:11,"('価格', 2)","('保存', 1)"
保存,test.txt:11,"('便利', 1)","('保存先', 1)"
保存先,test.txt:40,"('保存', 1)","('値切', 1)"
値切,test.txt:5,"('保存先', 1)","('充実', 1)"
充実,test.txt:141,"('値切', 1)","('入', 1)"
入,test.txt:136,"('充実', 1)","('入力', 4)"
内,test.txt:11,"('入力', 4)","('冷蔵庫', 2)"
冷蔵庫売,test.txt:95,"('冷蔵庫', 2)","('冷蔵庫注目', 1)"
冷蔵庫注目,test.txt:96,"('冷蔵庫売', 1)","('冷蔵庫満足度', 1)"
冷蔵庫満足度,test.txt:97,"('冷蔵庫注目', 1)","('処理', 1)"
処理,test.txt:136,"('冷蔵庫満足度', 1)","('出力', 2)"
分,test.txt:115,"('出力先', 11)","('勉強', 1)"
勉強,test.txt:11,"('分', 1)","('半角', 1)"
半角,test.txt:136,"('勉強', 1)","('参考', 1)"
参考,test.txt:4,"('半角', 1)","('口', 1)"
口,test.txt:4,"('参考', 1)","('名', 2)"
含,test.txt:28,"('名', 2)","('問題', 1)"
問題,test.txt:140,"('含', 1)","('問題点', 1)"
問題点,test.txt:130,"('問題', 1)","('囲', 1)"
囲,test.txt:17,"('問題点', 1)","('場合', 2)"
奥,test.txt:141,"('売', 6)","('存知', 1)"
存知,test.txt:137,"('奥', 1)","('安', 1)"
安,test.txt:6,"('存知', 1)","('定刻', 1)"
定刻,test.txt:111,"('安', 1)","('定刻時刻', 1)"
定刻時刻,test.txt:11,"('定刻', 1)","('実行', 4)"
実行例,test.txt:113,"('実行', 4)","('実行結果', 1)"
実行結果,test.txt:117,"('実行例', 1)","('実装', 3)"
家具,test.txt:2,"('実装', 3)","('家電', 2)"
家電購入,test.txt:4,"('家電', 2)","('家電量販店', 1)"
家電量販店,test.txt:5,"('家電購入', 1)","('少', 1)"
少,test.txt:6,"('家電量販店', 1)","('幸', 1)"
幸,test.txt:137,"('少', 1)","('引', 1)"
引,test.txt:1,"('幸', 1)","('形式', 1)"
形式,test.txt:120,"('引', 1)","('思', 1)"
思,test.txt:11,"('形式', 1)","('情報', 3)"
想定,test.txt:37,"('情報', 3)","('感', 1)"
感,test.txt:8,"('想定', 1)","('手間', 1)"
手間,test.txt:8,"('感', 1)","('抽出', 4)"
抽出結果,test.txt:40,"('抽出', 4)","('探', 1)"
探,test.txt:8,"('抽出結果', 1)","('教示', 1)"
教示,test.txt:137,"('探', 1)","('新築', 1)"
新築,test.txt:1,"('教示', 1)","('方', 3)"
日,test.txt:115,"('方', 3)","('時', 2)"
曜日,test.txt:115,"('時', 2)","('替', 1)"
替,test.txt:2,"('曜日', 1)","('最安値', 2)"
未解決,test.txt:140,"('月', 2)","('格納', 1)"
格納,test.txt:40,"('未解決', 1)","('格納先', 1)"
格納先,test.txt:116,"('格納', 1)","('検知', 1)"
検知,test.txt:136,"('格納先', 1)","('検討', 1)"
検討,test.txt:2,"('検知', 1)","('毎回毎回', 1)"
毎回毎回,test.txt:8,"('検討', 1)","('毎日', 1)"
毎日,test.txt:113,"('毎回毎回', 1)","('注目', 3)"
洗濯機売,test.txt:79,"('洗濯機', 2)","('洗濯機注目', 1)"
洗濯機注目,test.txt:80,"('洗濯機売', 1)","('洗濯機満足度', 1)"
洗濯機満足度,test.txt:81,"('洗濯機注目', 1)","('深', 1)"
深,test.txt:141,"('洗濯機満足度', 1)","('満足度', 5)"
物,test.txt:6,"('点', 3)","('状態', 1)"
状態,test.txt:131,"('物', 1)","('用', 1)"
用,test.txt:36,"('状態', 1)","('私', 1)"
私,test.txt:6,"('用', 1)","('筋', 8)"
結構多,test.txt:5,"('筋', 8)","('絶対', 2)"
置換,test.txt:136,"('絶対', 2)","('膨大', 1)"
膨大,test.txt:8,"('置換', 1)","('自動実行', 1)"
自動実行,test.txt:111,"('膨大', 1)","('自動抽出', 2)"
製品,test.txt:16,"('薄型', 5)","('製品名', 1)"
製品名,test.txt:31,"('製品', 1)","('見', 2)"
解決策模索中,test.txt:135,"('見', 2)","('言', 1)"
言,test.txt:8,"('解決策模索中', 1)","('設定', 1)"
設定,test.txt:113,"('言', 1)","('買', 3)"
赤枠,test.txt:17,"('買', 3)","('越', 1)"
越,test.txt:1,"('赤枠', 1)","('辺', 1)"
辺,test.txt:140,"('越', 1)","('部分', 1)"
部分,test.txt:13,"('辺', 1)","('開', 2)"
関係,test.txt:1,"('間', 2)","('関数化', 1)"
関数化,test.txt:39,"('関係', 1)","('電化製品', 3)"
順位,test.txt:29,"('電化製品', 3)","('高', 1)"
高,test.txt:6,"('順位', 1)","('', 0)"
